ano,sigla_uf,numero_consumidores,consumo,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,IBGE_POP,GDP,GDP_CAPITA,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,MUN_EXPENDIT
2004,AL,7758590.0,3390490,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2004,BA,42981158.0,17248063,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2004,CE,26342055.0,6328325,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2004,GO,22229777.0,8050750,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2004,MA,13735192.0,8919920,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2004,MG,74780077.0,45308746,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2004,MS,7987494.0,3262925,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2004,PB,11765231.0,2891201,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2004,PE,27800736.0,7939009,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2004,PI,8184474.0,1507089,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2004,PR,38789266.0,19872884,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2004,RJ,65461210.0,30535178,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2004,RN,9834238.0,3195523,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2004,RS,41055789.0,21572560,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2004,SC,23423649.0,14498221,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2004,SP,158401512.0,100149287,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2005,AL,8149089.0,3639834,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2005,BA,45129251.0,17929759,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2005,CE,27334772.0,6823665,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2005,GO,22952551.0,8472127,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2005,MA,14456744.0,9220382,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2005,MG,76439924.0,45992571,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2005,MS,8300968.0,3346901,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2005,PB,12083542.0,3100800,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2005,PE,29013963.0,8497972,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2005,PI,8550195.0,1613678,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2005,PR,39866046.0,20475716,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2005,RJ,70600484.0,32227651,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2005,RN,10292405.0,3535315,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2005,RS,42370795.0,22243923,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2005,SC,24201535.0,15171517,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2005,SP,161808974.0,103906696,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2006,AL,8624505.0,3602191,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2006,BA,47636650.0,18263596,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2006,CE,28488637.0,6978943,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2006,GO,23724162.0,8615377,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2006,MA,15689442.0,10129483,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2006,MG,78745479.0,45566946,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2006,MS,8569553.0,3367714,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2006,PB,12607539.0,3279057,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
